SORTING BENCHMARK RESULTS

Data set: random | n = 10 | repetitions = 200000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.025000000 | 1.250000000000e-07 | 200000
Selection Sort | 0.035000000 | 1.750000000000e-07 | 200000
Bubble Sort | 0.044000000 | 2.200000000000e-07 | 200000
Merge Sort | 0.081000000 | 4.050000000000e-07 | 200000
Quick Sort | 0.038000000 | 1.900000000000e-07 | 200000
Shell Sort | 0.038000000 | 1.900000000000e-07 | 200000
Count Sort | 0.051000000 | 2.550000000000e-07 | 200000
Cocktail Shaker Sort | 0.039000000 | 1.950000000000e-07 | 200000
Gnome Sort | 0.042000000 | 2.100000000000e-07 | 200000

Data set: random | n = 20 | repetitions = 100000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.029000000 | 2.900000000000e-07 | 100000
Selection Sort | 0.061000000 | 6.100000000000e-07 | 100000
Bubble Sort | 0.090000000 | 9.000000000000e-07 | 100000
Merge Sort | 0.098000000 | 9.800000000000e-07 | 100000
Quick Sort | 0.048000000 | 4.800000000000e-07 | 100000
Shell Sort | 0.048000000 | 4.800000000000e-07 | 100000
Count Sort | 0.043000000 | 4.300000000000e-07 | 100000
Cocktail Shaker Sort | 0.068000000 | 6.800000000000e-07 | 100000
Gnome Sort | 0.054000000 | 5.400000000000e-07 | 100000

Data set: random | n = 50 | repetitions = 50000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.063000000 | 1.260000000000e-06 | 50000
Selection Sort | 0.134000000 | 2.680000000000e-06 | 50000
Bubble Sort | 0.247000000 | 4.940000000000e-06 | 50000
Merge Sort | 0.154000000 | 3.080000000000e-06 | 50000
Quick Sort | 0.073000000 | 1.460000000000e-06 | 50000
Shell Sort | 0.085000000 | 1.700000000000e-06 | 50000
Count Sort | 0.052000000 | 1.040000000000e-06 | 50000
Cocktail Shaker Sort | 0.182000000 | 3.640000000000e-06 | 50000
Gnome Sort | 0.136000000 | 2.720000000000e-06 | 50000

Data set: random | n = 100 | repetitions = 20000
algorithm | total_time_in_seconds | average_time_in_seconds | repetitions
Insertion Sort | 0.075000000 | 3.750000000000e-06 | 20000
Selection Sort | 0.163000000 | 8.150000000000e-06 | 20000
Bubble Sort | 0.344000000 | 1.720000000000e-05 | 20000
